DateTime,Open,High,Low,Close,Delta,CumDelta
2025-03-04  15:00:00,5850.25,5875.75,5843.50,5860.25,1699,29420
2025-03-04  15:30:00,5860.25,5862.00,5768.25,5790.75,804,30224
2025-03-04  16:00:00,5791.00,5819.00,5790.50,5810.75,1278,31502
2025-03-04  18:00:00,5832.00,5836.25,5823.25,5836.00,494,31996
2025-03-04  18:30:00,5835.75,5838.00,5829.50,5834.00,-286,31710
2025-03-04  19:00:00,5834.25,5836.75,5821.25,5826.75,-225,31485
2025-03-04  19:30:00,5826.75,5828.25,5814.75,5826.50,147,31632
2025-03-04  20:00:00,5826.75,5828.00,5817.75,5823.50,75,31707
2025-03-04  20:30:00,5823.50,5828.50,5808.00,5820.00,-59,31648
2025-03-04  21:00:00,5820.00,5822.00,5810.75,5813.25,-99,31549
2025-03-04  21:30:00,5813.75,5823.00,5807.75,5814.00,315,31864
2025-03-04  22:00:00,5814.25,5832.75,5809.00,5826.50,339,32203
2025-03-04  22:30:00,5826.50,5830.50,5815.75,5828.75,-292,31911
2025-03-04  23:00:00,5828.50,5834.00,5825.00,5827.75,314,32225
2025-03-04  23:30:00,5827.50,5828.00,5825.00,5826.75,50,32275
2025-03-05  00:00:00,5827.00,5829.00,5817.50,5817.75,-438,31837
2025-03-05  00:30:00,5818.00,5828.00,5818.00,5827.00,221,32058
2025-03-05  01:00:00,5827.00,5829.75,5819.00,5819.75,-179,31879
2025-03-05  01:30:00,5819.75,5828.50,5818.25,5826.00,-9,31870
2025-03-05  02:00:00,5825.75,5832.50,5822.50,5826.00,563,32433
2025-03-05  02:30:00,5825.75,5827.00,5821.00,5822.00,322,32755
2025-03-05  03:00:00,5822.25,5837.00,5817.25,5836.00,1062,33817
2025-03-05  03:30:00,5835.75,5836.25,5821.25,5824.50,391,34208
2025-03-05  04:00:00,5824.75,5839.00,5820.00,5836.50,782,34990
2025-03-05  04:30:00,5836.50,5844.25,5836.00,5839.50,454,35444
2025-03-05  05:00:00,5840.00,5842.75,5822.75,5823.75,677,36121
2025-03-05  05:30:00,5824.00,5834.50,5822.50,5823.25,533,36654
2025-03-05  06:00:00,5823.50,5825.50,5819.25,5823.00,350,37004
2025-03-05  06:30:00,5822.75,5825.00,5796.25,5809.75,-519,36485
2025-03-05  07:00:00,5809.75,5816.50,5797.50,5806.50,-307,36178
2025-03-05  07:30:00,5806.75,5815.50,5800.25,5802.50,253,36431
2025-03-05  08:00:00,5802.50,5813.50,5783.75,5788.75,-1336,35095
2025-03-05  08:30:00,5789.00,5798.75,5785.75,5788.50,-276,34819
2025-03-05  09:00:00,5788.50,5800.00,5779.00,5787.75,2102,36921
2025-03-05  09:30:00,5788.00,5812.75,5770.25,5778.25,723,37644
2025-03-05  10:00:00,5779.75,5817.00,5774.50,5779.00,2373,40017
2025-03-05  10:30:00,5779.25,5804.00,5775.50,5789.50,1229,41246
2025-03-05  11:00:00,5789.25,5789.25,5758.25,5769.00,-890,40356
2025-03-05  11:30:00,5768.75,5788.50,5750.75,5779.50,1510,41866
2025-03-05  12:00:00,5779.25,5808.50,5778.00,5807.25,634,42500
2025-03-05  12:30:00,5807.50,5829.50,5799.25,5828.00,4971,47471
2025-03-05  13:00:00,5828.00,5832.00,5797.75,5812.75,137,47608
2025-03-05  13:30:00,5812.75,5836.25,5799.50,5835.25,2010,49618
2025-03-05  14:00:00,5835.00,5864.25,5828.75,5848.50,2543,52161
2025-03-05  14:30:00,5848.50,5862.50,5840.50,5851.25,-1363,50798
2025-03-05  15:00:00,5851.25,5869.50,5843.00,5861.50,-971,49827
2025-03-05  15:30:00,5861.50,5861.75,5834.00,5850.75,359,50186
2025-03-05  16:00:00,5850.75,5852.00,5841.25,5845.25,322,50508
2025-03-05  18:00:00,5844.75,5853.50,5844.50,5848.50,-199,50309
2025-03-05  18:30:00,5848.50,5848.50,5841.50,5845.25,-486,49823
2025-03-05  19:00:00,5845.00,5850.00,5842.50,5849.00,289,50112
2025-03-05  19:30:00,5849.00,5849.75,5838.00,5839.50,-542,49570
2025-03-05  20:00:00,5840.00,5845.00,5838.75,5843.50,147,49717
